,completion_code,job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
55,ras:H8L1p,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-3,3,3,3,3,3,3,3,-1,2,3,1,-1,-1,-2,3,-3,3,-3,-2,1,-2,3,3,-2,3,2,2,1,-44,2,-3,3,3,3,3,3,3,3,-1,2,3,1,-1,-1,-2,3,-3,3,-3,-2,1,-2,3,3,-2,3,2,2,1,145,145,1573257921.8400753,1573258066.9298766,2019-11-09 01:07:47.133058,0,A2XC9#####6PLH
56,ras:j03GK,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-2,1,2,2,1,1,1,-2,-2,2,2,-2,-1,1,2,2,-2,2,-3,-3,-2,-2,2,1,2,-2,-3,-3,1,-49,1,-2,1,2,2,1,1,1,-2,-2,2,2,-2,-1,1,2,2,-2,2,-3,-3,-2,-2,2,1,2,-2,-3,-3,1,83,83,1573258518.35,1573258601.2071202,2019-11-09 01:16:41.425368,0,A3VTO#####TBRR
57,ras:3XFsE,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-2,1,-3,2,-1,2,2,-1,-3,-1,-1,-1,-1,-1,-1,2,-2,2,-1,-2,-2,-1,1,1,1,1,-1,2,1,-23,2,-2,1,-3,2,-1,2,2,-1,-3,-1,-1,-1,-1,-1,-1,2,-2,2,-1,-2,-2,-1,1,1,1,1,-1,2,1,217,217,1573258485.615965,1573258702.4315312,2019-11-09 01:18:22.642196,0,A1ZK0#####6UPY
58,ras:voBcM,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,1,1,2,-5,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,1,1,2,95,95,1573262990.9874785,1573263085.8716922,2019-11-09 02:31:26.059657,0,A1YNB#####FUVW
59,ras:cGV7r,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,-3,1,1,3,-2,1,3,3,-3,3,3,-2,-2,-2,1,3,-3,2,-3,-3,-2,-3,3,1,2,2,2,2,1,-50,1,-3,1,1,3,-2,1,3,3,-3,3,3,-2,-2,-2,1,3,-3,2,-3,-3,-2,-3,3,1,2,2,2,2,1,84,84,1573263576.4915493,1573263660.616845,2019-11-09 02:41:00.797953,0,A23QI#####SA0I
60,ras:4sqi5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,1,-2,-2,-2,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,5,-1,1,-2,-2,-2,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,61,61,1573263621.3961887,1573263682.6772044,2019-11-09 02:41:22.834792,0,A1842#####Z590
61,ras:cN4sv,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,2,-2,1,2,2,-1,-2,-2,-2,1,2,-1,1,32,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,2,-2,1,2,2,-1,-2,-2,-2,1,2,-1,1,133,133,1573264372.426976,1573264505.5066257,2019-11-09 02:55:05.741790,0,A3SSE#####7NI7
62,ras:aNQ30,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-2,2,3,3,1,2,2,-3,-3,2,2,-3,2,1,1,2,-3,2,-2,-1,-2,-1,1,2,1,-3,-3,2,-2,-41,2,-2,2,3,3,1,2,2,-3,-3,2,2,-3,2,1,1,2,-3,2,-2,-1,-2,-1,1,2,1,-3,-3,2,-2,117,117,1573264572.1952074,1573264689.4462647,2019-11-09 02:58:09.693272,0,A1JDE#####1E33
63,ras:RZSa5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,2,-3,-3,-2,-3,-1,-3,-3,2,1,-3,-1,2,3,-2,1,-1,-2,-1,1,2,-1,-3,2,-3,2,-3,2,-2,36,2,2,-3,-3,-2,-3,-1,-3,-3,2,1,-3,-1,2,3,-2,1,-1,-2,-1,1,2,-1,-3,2,-3,2,-3,2,-2,86,86,1573397059.2098823,1573397145.0854673,2019-11-10 15:45:45.289865,0,A3QSJ#####0N6V
64,ras:euPF5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-3,2,-3,2,-3,-3,2,-2,-3,2,2,-2,2,3,-3,-3,1,-2,-3,2,3,1,-2,-3,1,-2,2,1,1,-3,37,-3,2,-3,2,-3,-3,2,-2,-3,2,2,-2,2,3,-3,-3,1,-2,-3,2,3,1,-2,-3,1,-2,2,1,1,-3,135,135,1573397965.7286897,1573398100.3074074,2019-11-10 16:01:40.454394,0,A2Z7S#####5OOI
65,ras:clmXk,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,-3,1,3,3,2,1,3,2,-3,3,3,-3,-2,-3,2,2,-3,2,-3,-3,-3,-3,2,2,1,-2,-3,-2,-2,-68,2,-3,1,3,3,2,1,3,2,-3,3,3,-3,-2,-3,2,2,-3,2,-3,-3,-3,-3,2,2,1,-2,-3,-2,-2,134,134,1573398143.4049683,1573398276.9875565,2019-11-10 16:04:37.241343,0,AJ7MW#####3E4
66,ras:HoVuC,3NBFJK3IPKO682PN9TMBMQFXPULGO5,2,1,-1,2,-2,1,-1,1,-2,-2,1,1,-2,-2,-2,-3,-2,1,-2,-2,-1,-2,-2,1,-1,-2,2,-3,1,2,-8,2,1,-1,2,-2,1,-1,1,-2,-2,1,1,-2,-2,-2,-3,-2,1,-2,-2,-1,-2,-2,1,-1,-2,2,-3,1,2,207,207,1573399085.499759,1573399292.150512,2019-11-10 16:21:32.795258,0,A5X1K#####REK
67,ras:sI4i3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,-2,3,3,3,1,1,1,-2,-1,-1,2,1,-3,-1,-2,3,1,3,-2,-1,1,1,3,-2,-3,2,2,2,1,-12,-2,-2,3,3,3,1,1,1,-2,-1,-1,2,1,-3,-1,-2,3,1,3,-2,-1,1,1,3,-2,-3,2,2,2,1,93,93,1573400663.4275682,1573400756.6109247,2019-11-10 16:45:57.312040,0,A2ZT5#####K8X9
68,ras:DBGg4,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,2,2,2,2,44,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,2,2,2,2,85,85,1573400805.705454,1573400891.1958878,2019-11-10 16:48:11.423047,0,A2SYT#####WJO5
69,ras:l5xl6,3NBFJK3IPKO682PN9TMBMQFXPULGO5,1,1,-2,1,2,-2,3,3,-2,-2,2,1,1,1,2,2,1,-2,2,-1,-1,-1,-2,2,1,2,1,2,2,-2,-14,1,1,-2,1,2,-2,3,3,-2,-2,2,1,1,1,2,2,1,-2,2,-1,-1,-1,-2,2,1,2,1,2,2,-2,117,117,1573400931.9992063,1573401048.9167414,2019-11-10 16:50:49.134868,0,AMX5R#####A2K
70,ras:FmaJH,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-1,-1,2,-3,-3,-3,2,1,-3,-3,3,2,-2,1,-2,-3,2,1,1,1,1,-1,1,-1,2,-3,2,-2,1,-2,4,-1,-1,2,-3,-3,-3,2,1,-3,-3,3,2,-2,1,-2,-3,2,1,1,1,1,-1,1,-1,2,-3,2,-2,1,-2,171,171,1573407883.1557224,1573408054.2484868,2019-11-10 18:47:34.513263,0,ATBIP#####KS6
71,ras:3Nhg0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,-2,2,-3,-3,-2,1,-1,2,-2,2,-2,-2,3,3,2,-2,-1,2,-2,2,-1,3,3,-3,3,-2,2,-3,2,-3,46,-2,2,-3,-3,-2,1,-1,2,-2,2,-2,-2,3,3,2,-2,-1,2,-2,2,-1,3,3,-3,3,-2,2,-3,2,-3,387,387,1573409737.6950321,1573410124.7802684,2019-11-10 19:22:05.011707,0,A1PHD#####IK4Q
72,ras:rfxvS,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,2,-2,1,-1,-1,-1,-1,-1,-2,1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,2,-2,1,-2,-1,-1,-4,2,-2,1,-1,-1,-1,-1,-1,-2,1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,2,-2,1,-2,-1,-1,201,201,1573425551.3271818,1573425752.5667222,2019-11-10 23:42:32.702350,0,A1SIS#####2PWH
73,ras:cs4CM,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,1,1,1,2,1,2,-1,1,1,1,-1,2,1,1,-1,1,1,1,1,1,-1,1,1,1,1,2,1,2,1,1,-7,1,1,1,2,1,2,-1,1,1,1,-1,2,1,1,-1,1,1,1,1,1,-1,1,1,1,1,2,1,2,1,1,80,80,1573426528.4826188,1573426608.387097,2019-11-10 23:56:48.804215,0,A3AOV#####XQ51
74,ras:57K9K,3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ,2,-2,3,3,3,3,3,3,-2,1,3,3,1,-3,-1,-1,-1,-3,3,-2,1,3,-2,1,1,1,3,3,2,-3,-24,2,-2,3,3,3,3,3,3,-2,1,3,3,1,-3,-1,-1,-1,-3,3,-2,1,3,-2,1,1,1,3,3,2,-3,189,189,1573430295.2016118,1573430484.6504624,2019-11-11 01:01:24.807776,0,A24LB#####PKKF
75,ras:ION55,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,-3,3,3,1,2,2,3,-2,-3,3,-3,-2,-3,-3,-1,3,-3,3,-3,-3,-2,-3,2,2,-2,1,-3,1,2,-52,2,-3,3,3,1,2,2,3,-2,-3,3,-3,-2,-3,-3,-1,3,-3,3,-3,-3,-2,-3,2,2,-2,1,-3,1,2,185,185,1573433809.2613487,1573433993.874624,2019-11-11 01:59:54.027112,0,A17TK#####VH0R
76,ras:81ODI,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-2,-1,-3,1,2,-2,-2,-3,1,-2,2,-3,-1,2,1,-2,1,-2,2,2,2,2,1,-3,-1,1,1,2,2,-3,23,-2,-1,-3,1,2,-2,-2,-3,1,-2,2,-3,-1,2,1,-2,1,-2,2,2,2,2,1,-3,-1,1,1,2,2,-3,174,174,1573433944.2466443,1573434118.69826,2019-11-11 02:01:59.231704,0,A1YBG#####80DZ
77,ras:bO7Gx,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-1,2,-2,-2,-1,-2,-3,-3,-3,3,-3,-2,3,3,3,-3,3,3,-3,3,-1,3,2,-2,1,-2,2,-1,2,-2,57,-1,2,-2,-2,-1,-2,-3,-3,-3,3,-3,-2,3,3,3,-3,3,3,-3,3,-1,3,2,-2,1,-2,2,-1,2,-2,217,217,1573434194.8183906,1573434412.0247176,2019-11-11 02:06:52.188950,0,A1WBG#####NJ9
78,ras:v9EF6,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,2,-1,-2,-1,-2,-1,-2,-2,-1,1,1,-1,2,3,-1,-1,3,2,3,1,1,3,-1,-1,-2,1,2,2,-2,35,1,2,-1,-2,-1,-2,-1,-2,-2,-1,1,1,-1,2,3,-1,-1,3,2,3,1,1,3,-1,-1,-2,1,2,2,-2,150,150,1573435629.0150099,1573435778.8237064,2019-11-11 02:29:38.988658,0,A314X#####YL12
79,ras:tFgtO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,-2,-2,-1,-2,-2,1,-1,-2,-2,1,1,-1,-1,-2,-1,1,-2,1,-1,-2,-2,-2,1,1,1,1,-2,1,-2,-13,1,-2,-2,-1,-2,-2,1,-1,-2,-2,1,1,-1,-1,-2,-1,1,-2,1,-1,-2,-2,-2,1,1,1,1,-2,1,-2,163,163,1573436053.481029,1573436216.1786354,2019-11-11 02:36:56.483219,0,A3PDH#####CTT5
80,ras:Mf4AR,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-2,-3,-2,2,2,-3,-2,-2,1,1,-1,-2,2,3,3,-3,-3,1,1,-1,2,2,-1,-3,2,1,2,-3,3,-2,27,-2,-3,-2,2,2,-3,-2,-2,1,1,-1,-2,2,3,3,-3,-3,1,1,-1,2,2,-1,-3,2,1,2,-3,3,-2,177,177,1573436138.4348545,1573436315.7933996,2019-11-11 02:38:36.000765,0,A2EEL#####L5SK
81,ras:Am2VF,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,-1,3,3,3,-2,3,2,-3,-3,-3,3,-2,1,-2,-1,3,-3,3,-3,-3,-2,-3,3,3,-3,-2,-3,-3,1,-50,3,-1,3,3,3,-2,3,2,-3,-3,-3,3,-2,1,-2,-1,3,-3,3,-3,-3,-2,-3,3,3,-3,-2,-3,-3,1,178,178,1573436641.639628,1573436819.7490916,2019-11-11 02:47:00.016519,0,A15XI#####7SLK
82,ras:YvUB0,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-1,-1,1,1,3,2,-1,1,-1,-1,-3,1,-3,2,1,-1,-1,-3,2,-2,-2,2,-3,1,2,2,3,2,1,-1,-11,-1,-1,1,1,3,2,-1,1,-1,-1,-3,1,-3,2,1,-1,-1,-3,2,-2,-2,2,-3,1,2,2,3,2,1,-1,370,370,1573436645.4753897,1573437015.3891392,2019-11-11 02:50:16.052380,0,A3168#####DIH3
83,ras:Wrt2C,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,-2,3,1,2,-1,3,2,3,-1,1,2,1,-1,-1,2,2,1,2,-2,1,-1,2,2,3,1,2,-3,1,1,-35,3,-2,3,1,2,-1,3,2,3,-1,1,2,1,-1,-1,2,2,1,2,-2,1,-1,2,2,3,1,2,-3,1,1,109,109,1573437082.8831913,1573437192.0153372,2019-11-11 02:53:12.183194,0,A1PIG#####MGNW
84,ras:2ksqI,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,-2,-3,2,1,-2,2,2,1,-2,2,3,-2,-1,2,3,1,2,1,2,-1,-1,1,2,2,-2,-1,-2,-1,1,-24,2,-2,-3,2,1,-2,2,2,1,-2,2,3,-2,-1,2,3,1,2,1,2,-1,-1,1,2,2,-2,-1,-2,-1,1,141,141,1573437076.8729017,1573437217.7166777,2019-11-11 02:53:37.898040,0,A136K#####C3G
85,ras:gM7Wl,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-1,-1,2,3,3,3,1,2,1,-2,3,1,2,1,3,3,-2,-2,2,-2,-2,2,-2,2,-1,-1,2,-1,2,1,-22,-1,-1,2,3,3,3,1,2,1,-2,3,1,2,1,3,3,-2,-2,2,-2,-2,2,-2,2,-1,-1,2,-1,2,1,124,124,1573437105.2900565,1573437229.782683,2019-11-11 02:53:49.892627,0,A1F3P#####9HBN
86,ras:fFjAu,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,1,1,1,1,2,-2,1,-2,-2,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,2,-1,-1,-2,1,-2,-16,2,1,1,1,1,2,-2,1,-2,-2,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,2,-1,-1,-2,1,-2,151,151,1573437115.230753,1573437265.9312224,2019-11-11 02:54:26.078116,0,A21Y7#####M1PR
87,ras:GfwgQ,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,-2,1,2,3,-1,1,2,2,-3,3,2,-2,-2,1,2,3,-3,2,1,-3,-2,-2,3,2,1,1,-3,1,-1,-46,1,-2,1,2,3,-1,1,2,2,-3,3,2,-2,-2,1,2,3,-3,2,1,-3,-2,-2,3,2,1,1,-3,1,-1,140,140,1573437970.8656154,1573438110.8162649,2019-11-11 03:08:31.081779,0,A17NL#####Y599
88,ras:Ysz2T,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-2,-1,1,-1,-1,-3,-1,-1,-3,-1,1,-3,-1,2,3,-3,1,-2,2,-1,-1,2,-2,-3,-1,-3,1,1,1,-3,24,-2,-1,1,-1,-1,-3,-1,-1,-3,-1,1,-3,-1,2,3,-3,1,-2,2,-1,-1,2,-2,-3,-1,-3,1,1,1,-3,75,75,1573438211.279858,1573438286.7660148,2019-11-11 03:11:26.909631,0,AVAJT#####XOO
89,ras:HGaQm,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-3,3,-3,-3,-3,-3,-1,-3,-3,3,1,-3,2,1,1,-3,2,2,-3,3,-1,2,1,-3,-1,-3,-2,-1,3,-3,55,-3,3,-3,-3,-3,-3,-1,-3,-3,3,1,-3,2,1,1,-3,2,2,-3,3,-1,2,1,-3,-1,-3,-2,-1,3,-3,152,152,1573438136.3336494,1573438288.5860057,2019-11-11 03:11:29.221255,0,A3NXI#####5TXU
90,ras:2gpWx,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-3,2,1,1,1,1,2,2,-1,1,1,3,1,-2,-1,2,2,1,1,2,1,-1,-1,-1,2,2,-2,2,-1,1,-15,-3,2,1,1,1,1,2,2,-1,1,1,3,1,-2,-1,2,2,1,1,2,1,-1,-1,-1,2,2,-2,2,-1,1,75,75,1573438235.2638645,1573438310.0415637,2019-11-11 03:11:50.217092,0,A1BPQ#####7RWS
91,ras:CvR7s,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,1,1,-1,1,-2,1,-1,1,-1,-1,1,1,1,1,-1,2,-2,1,1,-1,-1,-2,2,2,-1,-2,-1,1,-1,-10,2,1,1,-1,1,-2,1,-1,1,-1,-1,1,1,1,1,-1,2,-2,1,1,-1,-1,-2,2,2,-1,-2,-1,1,-1,114,114,1573438301.2107108,1573438415.2025218,2019-11-11 03:13:35.481600,0,A1WWE#####SVZ0
92,ras:GE1zI,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-1,-1,-1,1,-1,-2,2,1,-2,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,2,1,1,-1,0,-1,-1,-1,1,-1,-2,2,1,-2,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,2,1,1,-1,148,148,1573438338.4760356,1573438486.5050454,2019-11-11 03:14:46.750268,0,A3HL2#####PZT8
93,ras:BssT9,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,-1,1,1,3,3,2,1,1,1,3,3,-2,1,3,3,2,-2,2,-3,-3,1,-1,-2,3,3,1,2,-1,-3,-31,1,-1,1,1,3,3,2,1,1,1,3,3,-2,1,3,3,2,-2,2,-3,-3,1,-1,-2,3,3,1,2,-1,-3,173,173,1573438322.793396,1573438495.8546782,2019-11-11 03:14:55.994516,0,A1N9Z#####R7OU
94,ras:9E6ye,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,1,1,-2,1,-2,-1,1,-2,1,-2,2,1,-2,-1,-2,-1,-1,2,1,-1,-1,-2,1,2,-2,-1,2,1,1,-1,2,1,1,-2,1,-2,-1,1,-2,1,-2,2,1,-2,-1,-2,-1,-1,2,1,-1,-1,-2,1,2,-2,-1,2,1,1,113,113,1573438411.1664128,1573438524.5120804,2019-11-11 03:15:24.754545,0,A2VTY#####N75V
95,ras:Fnv7K,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,-3,3,1,3,-2,3,2,-2,-3,3,3,-3,-2,-3,2,3,-3,3,-2,-3,-2,-2,3,3,-1,-2,-3,1,2,-62,3,-3,3,1,3,-2,3,2,-2,-3,3,3,-3,-2,-3,2,3,-3,3,-2,-3,-2,-2,3,3,-1,-2,-3,1,2,211,211,1573438321.9409716,1573438533.323411,2019-11-11 03:15:43.990382,0,A3TDA#####QFE3
96,ras:zkO5u,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,1,2,3,-1,1,-2,-3,-2,-1,2,2,2,1,2,2,2,-2,-1,-1,-3,3,-2,-2,1,1,3,-2,1,-2,-3,2,1,2,3,-1,1,-2,-3,-2,-1,2,2,2,1,2,2,2,-2,-1,-1,-3,3,-2,-2,1,1,3,-2,1,-2,149,149,1573438406.394988,1573438555.1545258,2019-11-11 03:15:55.492564,0,A3HSO#####NZR4
97,ras:BQgXu,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-1,-3,3,3,3,3,2,3,3,-3,3,3,3,3,-2,-1,2,-3,3,-3,-3,1,-3,3,1,1,3,2,-1,3,-46,-1,-3,3,3,3,3,2,3,3,-3,3,3,3,3,-2,-1,2,-3,3,-3,-3,1,-3,3,1,1,3,2,-1,3,128,128,1573438475.8573596,1573438604.184694,2019-11-11 03:16:44.575795,0,AG491#####Q8X
98,ras:Q83SO,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,-1,-2,-3,2,-3,1,-2,-3,1,-2,1,1,2,1,-2,-1,2,1,2,2,-1,1,2,3,-2,1,2,2,-2,25,2,-1,-2,-3,2,-3,1,-2,-3,1,-2,1,1,2,1,-2,-1,2,1,2,2,-1,1,2,3,-2,1,2,2,-2,190,190,1573438444.5440323,1573438634.9443464,2019-11-11 03:17:15.253909,0,A1WEN#####ZZ1U
99,ras:DTcFT,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,3,-2,-1,2,2,2,3,2,-3,-2,3,2,-2,1,-2,3,2,-1,2,3,3,-2,-2,3,1,2,-1,-3,1,1,-38,3,-2,-1,2,2,2,3,2,-3,-2,3,2,-2,1,-2,3,2,-1,2,3,3,-2,-2,3,1,2,-1,-3,1,1,176,176,1573438505.1941419,1573438680.6946652,2019-11-11 03:18:00.887109,0,APJ3Z#####UWX
100,ras:mbsAY,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,-2,-2,-2,-3,2,-3,2,2,-2,-2,-2,-1,2,-1,-1,-2,-2,1,-2,1,2,1,1,-1,-1,-1,-2,-2,2,-2,20,-2,-2,-2,-3,2,-3,2,2,-2,-2,-2,-1,2,-1,-1,-2,-2,1,-2,1,2,1,1,-1,-1,-1,-2,-2,2,-2,148,148,1573439716.2809494,1573439863.809218,2019-11-11 03:37:44.006243,0,A2FBJ#####9SQ6
101,ras:Qkq2g,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,1,1,-3,2,-3,2,2,-2,-3,-2,-1,-3,-2,-1,1,2,-2,3,-3,-3,-1,-2,1,3,-2,1,-3,-1,1,-28,1,1,1,-3,2,-3,2,2,-2,-3,-2,-1,-3,-2,-1,1,2,-2,3,-3,-3,-1,-2,1,3,-2,1,-3,-1,1,293,293,1573441038.9557083,1573441331.6305928,2019-11-11 04:02:11.830659,0,A354D#####ODP1
102,ras:eCLJa,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,-3,2,1,2,1,1,-1,-3,-1,2,1,-2,-2,1,-1,3,-2,2,-1,1,-2,-1,2,1,-1,2,-2,1,-1,-24,2,-3,2,1,2,1,1,-1,-3,-1,2,1,-2,-2,1,-1,3,-2,2,-1,1,-2,-1,2,1,-1,2,-2,1,-1,125,125,1573442230.8389437,1573442356.208711,2019-11-11 04:19:16.416079,0,AVD6H#####LFI
103,ras:cdDZ3,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,2,2,-3,-2,1,-2,1,1,-2,-2,2,-2,-3,1,2,2,1,-2,1,-1,2,2,-2,-1,2,-2,-1,-1,2,-2,2,2,2,-3,-2,1,-2,1,1,-2,-2,2,-2,-3,1,2,2,1,-2,1,-1,2,2,-2,-1,2,-2,-1,-1,2,-2,202,202,1573444463.0917742,1573444664.7710154,2019-11-11 04:57:44.936754,0,A1FHK#####9RU
104,ras:a0OBj,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,1,1,3,3,-3,1,1,1,-2,3,-1,-1,3,2,-2,2,-1,2,1,2,-1,-2,-2,2,-2,2,-3,1,-2,-6,1,1,1,3,3,-3,1,1,1,-2,3,-1,-1,3,2,-2,2,-1,2,1,2,-1,-2,-2,2,-2,2,-3,1,-2,121,121,1573472170.5260146,1573472291.6923757,2019-11-11 12:38:11.846293,0,A1PLZ#####W43J
105,ras:6fZgL,3IHWR4LC8GL9S1I0VXNMRYFSIKA8I0,1,1,-1,2,2,3,1,1,2,-2,2,1,1,2,1,2,1,-1,3,-1,-1,1,-1,1,2,-1,3,-2,-1,3,-25,1,1,-1,2,2,3,1,1,2,-2,2,1,1,2,1,2,1,-1,3,-1,-1,1,-1,1,2,-1,3,-2,-1,3,129,129,1573503364.381102,1573503493.3283494,2019-11-11 21:18:13.565701,0,A4JP9#####ZPS
