"ai_calls_acceptance_probability","ai_calls_best_offer_probability","ai_calls_count_repeated","ai_calls_offers","ai_calls_pauses","ai_nb_calls","ai_offer","cc_beta","cc_criterion","cc_false_alarm_avg_click_delay","cc_false_alarm_rate","cc_false_alarms","cc_hit_avg_click_delay","cc_hit_rate","cc_hits","cc_sensitivity","completion_code","cpc_expected_value","cpc_expected_value_max","cpc_expected_value_min","cpc_q1","cpc_q10","cpc_q2","cpc_q3","cpc_q4","cpc_q5","cpc_q6","cpc_q7","cpc_q8","cpc_q9","cpc_time_spent","exp_ultimatum_game_experience","job_id","min_offer","model_type","offer","offer_dss","offer_final","prop_time_spent","prop_worker_id","ras_assertiveness","ras_q1","ras_q10","ras_q11","ras_q12","ras_q13","ras_q14","ras_q15","ras_q16","ras_q17","ras_q18","ras_q19","ras_q2","ras_q20","ras_q21","ras_q22","ras_q23","ras_q24","ras_q25","ras_q26","ras_q27","ras_q28","ras_q29","ras_q3","ras_q30","ras_q4","ras_q5","ras_q6","ras_q7","ras_q8","ras_q9","ras_time_spent","resp_rowid","resp_time_spent","resp_worker_id","risk_expected_value","risk_q1","risk_q2","risk_q3","risk_q4","risk_time_spent","timestamp","worker_id"
0.0353,0.0028,1,20,78,1,50,0.786247200363677,-0.14646590795281,444,0.25,1,418.6,0.833333333333333,5,1.64191131629778,"prop:lp2qr",10.4248,10.872,8.4422,14,4.1583,13,30,14.565,5.16,15,2.565,-9,14.8,68,15,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",20,20,20,25,"A3NM3GAVMJEI3J",28,1,2,-2,2,-2,-2,-1,-1,1,-2,2,-2,2,3,2,-2,-1,-3,-2,2,2,2,-3,-2,-1,1,2,3,3,-2,126,40,8,"AAAHLPAGDOA2U",2.0175,1,1.08,2,3.99,32,11/09/19 12:06 AM,"A3NM3#####JEI3J"
0.1805,0.0508,1,40,36,1,50,0.626283432186312,-0.483710783050851,210.5,0.5,2,270.2,0.833333333333333,5,0.967421566101701,"prop:ZXIeM",8.3968,9.076,6.1823,14,4.1583,13,10.22,14.565,5.16,14.5,2.565,-9,14.8,131,3,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",40,40,40,24,"A2CHDWKAYZ3P3E",-10,1,-3,1,2,3,1,-1,-2,-3,-2,3,1,2,1,1,-3,1,-3,1,-3,-1,1,-3,1,1,-2,1,2,1,-1,166,41,28,"A28VE2YSRYE3B8",3.605,1.08,1.33,4,8.01,97,11/09/19 12:13 AM,"A2CHD#####Z3P3E"
"0.7091:0.0213:0.0887:0.1805:0.2036","0.7938:0.0009:0.0284:0.0508:0.0759",6,"50:5:25:40:45","46:7:5:10:7",5,50,1.14419943422564,0.121881225450312,376,0.25,1,420,0.666666666666667,4,1.10521704949154,"prop:fEP5U",11.4002,13.342,6.386,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,14.8,198,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,27,"ATYVQ9RJ12Y2G",-16,1,-1,2,1,2,1,1,2,-2,-2,3,1,-3,-1,1,-2,2,-2,1,1,1,-1,-2,-2,1,-2,-1,-1,2,-3,161,42,13,"A37XJVQF62ZYC",4.645,1.09,1.99,5.5,10,58,11/09/19 12:20 AM,"ATYVQ#####2Y2G"
"0.1805:1.0:0.7187:0.7091","0.0508:0.0208:0.182:0.7938",4,"40:100:55:50","29:9:5:2",4,50,1.76630332436924,0.359811040540275,0,0,0,273,0.666666666666667,4,1.58107667967147,"prop:e5GYN",11.1661,13.097,6.4523,14,4.1583,13,30,14.565,5.16,14.5,2.565,-1.0875,14.8,119,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",40,50,50,20,"A28MDXDNK6QHMS",-11,1,-1,2,3,3,1,-1,1,-2,1,2,1,1,1,-2,-2,1,-2,2,-1,-1,2,-2,2,2,-2,3,1,2,-1,194,44,19,"A36FBIDN58N139",4.645,1.09,1.99,5.5,10,122,11/09/19 12:24 AM,"A28MD#####6QHMS"
"0.7091:0.1805:0.2036","0.7938:0.0508:0.0759",4,50:40:45,54:10:08,3,50,0.384298233612885,-0.691497063550319,282.5,0.5,2,300.333333333333,1,6,1.38299412710064,"prop:NR4NH",10.2005,12.037,8.0898,14,4.1583,13,30,14.565,3.4167,14.5,2.565,-9,14.8,39,5,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",70,"real",50,50,50,25,"A1IXVPKQT4DXTG",4,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,112,43,45,"A2J6Q0K995TRVM",2.3425,1.05,1.33,3,3.99,29,11/09/19 12:24 AM,"A1IXV#####4DXTG"
"0.7091:0.1068:0.1805:0.2036","0.7938:0.0039:0.0508:0.0759",5,"50:30:40:45","24:8:4:3",4,50,0.626283432186312,-0.483710783050851,268.5,0.5,2,197.6,0.833333333333333,5,0.967421566101701,"prop:ZkJw3",9.8354,9.72,6.8213,14,4.1583,2.2333,30,11.525,5.16,15,2.565,-1.0875,14.8,59,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",30,50,50,16,"AH4S22PWE826G",-56,3,-3,3,3,2,-1,1,3,-1,-3,3,3,-2,-3,-2,3,3,-3,3,-2,-3,-2,-1,3,1,-3,1,-2,1,3,106,45,15,"A2RLY2I4U06ETD",2.595,1.02,1.38,3,4.98,35,11/09/19 12:29 AM,"AH4S2#####826G"
,,0,,,0,50,1.14419943422564,0.121881225450312,358,0.25,1,339.5,0.666666666666667,4,1.10521704949154,"prop:R98px",8.8841,10.524,4.4613,14,4.1583,13,10.22,11.525,5.16,14.5,2.565,-1.0875,14.8,111,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",15,85,85,18,"A2NMLTECRDWFN2",37,-2,2,-1,-3,-2,-3,-3,1,-3,1,-3,1,-1,1,1,-3,2,2,-3,-3,1,3,1,3,-2,-3,2,-1,2,-2,145,46,10,"A34V3N0B4C3BMF",1.7475,1,1,1,3.99,42,11/09/19 12:29 AM,"A2NML#####DWFN2"
,,0,,,0,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:6bDmZ",10.9918,13.122,7.3398,14,4.1583,13,30,14.565,3.4167,14.5,2.565,-1.0875,14.8,61,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",30,"real",50,50,50,8,"A3AHCT6Q7A3Q23",4,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,48,48,16,"A1X44PCQAEIQ78",3.665,1.05,1.6,4,8.01,40,11/09/19 12:31 AM,"A3AHC#####A3Q23"
"0.7091:0.1805","0.7938:0.0508",3,50:40:00,11:22:00 PM,2,50,1.25541753135468,0.337244875098041,335,0.25,1,275.666666666667,0.5,3,0.674489750196082,"prop:UJohO",7.8574,6.784,5.8013,14,4.1583,2.2333,10.22,11.525,5.16,15,2.565,-1.0875,14.8,110,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,12,"A1Y9VA9FKJLS5K",66,-2,3,-2,-2,-3,-3,1,-2,-3,2,-2,-3,2,2,3,-3,-3,2,-3,2,1,3,2,-3,1,-3,2,2,2,-3,122,47,9,"AGY4FG45SEH9G",4.2875,1.05,1.6,4.5,10,59,11/09/19 12:31 AM,"A1Y9V#####JLS5K"
0.7091,0.7938,1,50,38,1,50,0.744766502395818,-0.116322373362315,0,0,0,353.5,1,6,2.53334350747665,"prop:fqSUx",9.8354,9.72,6.8213,14,4.1583,2.2333,30,11.525,5.16,15,2.565,-1.0875,14.8,98,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,14,"AXO22N46CSNVT",36,-1,2,-2,-3,-1,-3,-2,-2,-3,1,-2,-2,-3,2,2,-3,-1,1,2,2,-1,-1,1,-2,2,-3,2,-2,1,-3,124,50,15,"A3CPQP08A6J09F",3.915,1.05,1.6,5,8.01,52,11/09/19 12:32 AM,"AXO22#####SNVT"
0.7091,0.7938,1,50,32,1,50,0.786247200363677,-0.14646590795281,423,0.25,1,356.8,0.833333333333333,5,1.64191131629778,"prop:Xbknu",9.3482,8.272,8.5422,14,4.1583,2.2333,30,14.565,5.16,15,2.565,-9,14.8,132,8,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",30,"real",50,50,50,11,"A2QCQGZD7T1QNL",50,-2,-2,-2,-3,-1,-3,-3,-1,-3,-1,-2,-2,1,2,2,-3,-3,1,1,2,2,2,1,-1,-2,-2,2,2,2,-2,156,51,11,"A3T1AU8XOEZZXY",4.645,1.09,1.99,5.5,10,75,11/09/19 12:37 AM,"A2QCQ#####T1QNL"
0.7091,0.7938,2,50,96,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:PzO6G",10.0844,9.367,7.4798,14,4.1583,2.2333,30,14.565,5.16,15,2.015,-1.0875,14.8,33,2,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",100,"real",50,50,50,23,"A3POD149IG0DIW",8,1,-3,-3,-3,-3,-3,-3,-3,-2,1,1,-1,-3,-3,-3,-3,3,-3,-3,-3,-3,3,1,-3,-2,-3,-3,-3,-3,-3,145,52,35,"A13Y92CH1I5X5P",2.8075,1.05,1.2,4,4.98,90,11/09/19 12:39 AM,"A3POD#####G0DIW"
"0.8947:0.7662","0.342:0.4424",2,76:00:00,27:07:00,2,50,0.482454739746253,-1.02874193864836,324.333333333333,0.75,3,298.333333333333,1,6,0.708504376904556,"prop:Zw1Qp",7.1574,6.134,5.0513,7,4.1583,2.2333,10.22,11.525,5.16,15,2.565,-1.0875,14.8,62,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",45,"real",80,60,60,7,"ATXAVU13VN2I",-38,2,-2,1,2,3,-1,2,1,-3,-3,2,3,-1,-1,-1,1,1,-3,-1,-1,-3,-3,-1,3,1,-1,-2,-1,-1,-1,305,53,17,"A1U3OIZTWRI8JD",3.485,1.05,1.38,3.5,8.01,89,11/09/19 12:44 AM,"ATXAV#####N2I"
0.1292,0.0586,1,35,64,1,50,1.14419943422564,0.121881225450312,269,0.25,1,282.75,0.666666666666667,4,1.10521704949154,"prop:WQjG6",9.7929,13.38,2.8838,14,4.1583,2.2333,30,11.525,5.16,14.5,2.015,-1.0875,15.425,77,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",35,40,40,14,"A1GKD3NG1NNHRP",-20,2,3,3,-1,3,-3,3,3,3,-3,-1,3,-3,1,-3,3,3,3,3,-1,1,1,3,2,3,-3,3,-1,3,1,202,49,8,"AXTFSJDN2YLO5",1,1,1,1,1,25,11/09/19 12:52 AM,"A1GKD#####NNHRP"
0.7091,0.7938,1,50,17,1,50,1.21373162950237,0.091463907137153,0,0,0,373.4,0.833333333333333,5,2.11777094647771,"prop:gVyW5",9.1262,11.556,5.1748,14,4.1583,13,10.22,14.565,3.4167,15,2.565,-1.0875,15.425,62,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",60,"real",50,50,50,9,"A1KHRQ121JTDF6",13,-2,2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,3,1,2,1,-2,-2,2,2,-2,-2,2,2,2,-2,2,-2,127,54,6,"A3DQL1IS7JPEL8",3.28,1.02,1.6,3.5,7,28,11/09/19 12:58 AM,"A1KHR#####JTDF6"
0.7091,0.7938,1,50,18,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:U19Ui",10.1394,9.357,7.7922,14,4.1583,2.2333,30,14.565,5.16,15,2.565,-1.0875,14.8,1834,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",50,50,50,10,"A6A9JHDSYR9ZQ",33,-1,3,-3,-2,1,-3,3,-3,-3,3,1,-2,-2,3,2,-3,-1,-2,2,1,-1,3,-1,-3,3,-2,3,2,1,-2,278,55,10,"A23K7MLCDZPV0D",3.1075,1.05,1.38,3,7,175,11/09/19 01:03 AM,"A6A9J#####R9ZQ"
"0.7091:0.7662:0.1805:0.9666","0.7938:0.4424:0.0508:0.0332",4,"50:60:40:80","23:13:7:9",4,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:7qWD7",10.5286,14.957,3.3173,7,4.1583,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,130,4,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",20,"real",50,50,50,8,"A2WGW5Y3ZFBDEC",2,-2,-1,-2,-2,-2,-3,1,-2,-2,-3,-1,1,-1,-1,-1,-1,2,-2,-1,1,-1,-2,-1,1,2,-1,1,-3,2,-2,151,56,18,"A8KX1HFH8NE2Q",4.645,1.09,1.99,5.5,10,203,11/09/19 01:04 AM,"A2WGW#####FBDEC"
,,0,,,0,50,1.93799095924558,0.575174690188004,0,0,0,382.666666666667,0.5,3,1.15034938037601,"prop:W670v",11.4002,13.342,6.386,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,14.8,34,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",50,50,50,17,"A1AN6YSZBCU3AT",16,-1,2,-2,-2,-3,-1,1,-1,-3,-3,3,-2,-1,2,1,-2,1,-2,-1,-2,1,1,-1,-1,1,-2,1,-1,1,-2,131,57,6,"A2FCQ5K0T1PYHS",4.375,1,1,5.5,10,20,11/09/19 01:07 AM,"A1AN6#####CU3AT"
"0.2036:0.1068:0.1805","0.0759:0.0039:0.0508",5,45:30:40,118:13:07,3,50,1.93799095924558,0.575174690188004,0,0,0,478,0.5,3,1.15034938037601,"prop:p79b1",9.0804,9.08,5.7588,7,4.1583,2.2333,30,11.525,5.16,15,2.015,-1.0875,14.8,113,10,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",35,45,45,45,"A2VED2NOI12Q9Q",-28,1,-3,1,3,3,3,2,3,-1,-2,-1,3,-1,-3,3,2,1,-1,3,-1,1,-3,-1,1,2,-3,3,1,3,1,312,58,22,"A1LE6AUI3CJNIT",3.25,1,1,1,10,105,11/09/19 01:10 AM,"A2VED#####12Q9Q"
0.7091,0.7938,1,50,35,1,50,0.744766502395818,-0.116322373362315,0,0,0,244.333333333333,1,6,2.53334350747665,"prop:uNnvb",8.658,9.032,7.3735,7,6.5,2.2333,30,14.565,3.4167,14.5,2.565,-9,14.8,121,25,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",5,"real",50,50,50,11,"AN45KLUESX3NY",-44,2,-3,3,3,3,3,3,3,3,-1,2,3,1,-1,-1,-2,3,-3,3,-3,-2,1,-2,3,3,-2,3,2,2,1,145,59,15,"A2XC9QKBZN6PLH",2.2225,1.05,1.33,2.52,3.99,120,11/09/19 01:12 AM,"AN45K#####X3NY"
0.7091,0.7938,1,50,25,1,50,0.744766502395818,-0.116322373362315,0,0,0,414.666666666667,1,6,2.53334350747665,"prop:6zqTK",11.2259,13.367,7.2735,14,6.5,13,30,14.565,3.4167,14.5,2.565,-1.0875,14.8,83,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,14,"A1T2598R44X648",-49,1,-2,1,2,2,1,1,1,-2,-2,2,2,-2,-1,1,2,2,-2,2,-3,-3,-2,-2,2,1,2,-2,-3,-3,1,83,60,8,"A3VTOW7WLPTBRR",3.4125,1.05,1.6,4,7,36,11/09/19 01:26 AM,"A1T25#####4X648"
,,0,,,0,50,1.76630332436924,0.790538339835733,0,0,0,351,0.333333333333333,2,0.71962208108055,"prop:zuYkW",8.1791,8.744,4.6388,7,4.1583,13,10.22,11.525,5.16,15,2.015,-1.0875,14.8,122,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",50,50,50,13,"A20NITCOBY4775",-23,2,-2,1,-3,2,-1,2,2,-1,-3,-1,-1,-1,-1,-1,-1,2,-2,2,-1,-2,-2,-1,1,1,1,1,-1,2,1,217,61,18,"A1ZK0SH3406UPY",3.8225,1.08,1.71,3.5,9,138,11/09/19 01:28 AM,"A20NI#####Y4775"
0.9666,0.0332,1,80,29,1,50,0.786247200363677,0.820955658148891,262,0.25,1,194,0.166666666666667,1,-0.292931815905619,"prop:eNLOT",9.5823,8.517,8.476,14,6.5,2.2333,30,14.565,5.16,15,2.565,-9,14.8,94,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",75,50,50,9,"ADKSME3J8B0PA",-5,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,1,1,2,95,62,9,"A1YNBQAKX6FUVW",1.0625,1.05,1.2,1,1,110,11/09/19 02:38 AM,"ADKSM#####B0PA"
"0.1292:0.7091","0.0586:0.7938",3,35:50:00,57:51:00,2,50,1.25541753135468,-0.337244875098041,317.333333333333,0.75,3,281.666666666667,0.5,3,-0.674489750196082,"prop:xPOtA",9.9151,10.522,7.4397,14,4.1583,2.2333,30,14.565,3.4167,14.5,2.565,-1.0875,14.8,23,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",35,50,50,22,"A3PV30J81HD2RU",5,-1,1,-2,-2,-2,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,61,63,15,"A1842DOOCIZ590",2.4275,1.02,1.2,3.5,3.99,8,11/09/19 02:47 AM,"A3PV3#####HD2RU"
0.7091,0.7938,1,50,33,1,50,1,0,281.5,0.5,2,343.333333333333,0.5,3,0,"prop:E5fcG",9.613,12.757,6.1948,7,4.1583,13,30,14.565,3.4167,15,2.565,-9,15.425,84,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,12,"A3OPXWTBJZ37M8",-50,1,-3,1,1,3,-2,1,3,3,-3,3,3,-2,-2,-2,1,3,-3,2,-3,-3,-2,-3,3,1,2,2,2,2,1,84,64,4,"A23QI93B2RSA0I",2.2225,1.05,1.33,2.52,3.99,38,11/09/19 02:48 AM,"A3OPX#####Z37M8"
0.0353,0.0028,2,20,69,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:pLFI6",9.1354,9.07,6.0713,7,4.1583,2.2333,30,11.525,5.16,15,2.565,-1.0875,14.8,71,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",20,15,15,36,"A2NHWPJ304YVH0",32,1,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,1,-2,-2,2,-2,1,2,2,-1,-2,-2,-2,1,2,-1,1,133,65,7,"A3SSEX4P7D7NI7",2.3075,1.05,1.2,2,4.98,66,11/09/19 03:02 AM,"A2NHW#####4YVH0"
0.7091,0.7938,1,50,40,1,50,1.21373162950237,-1.05888547323885,291.75,1,4,351,0.833333333333333,5,-0.182927814274307,"prop:AFRh5",10.8571,12.33,6.4087,14,4.1583,13,30,11.525,5.16,15,2.015,-1.0875,14.8,86,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,21,"A3W1M37EJKYIZI",-41,2,-2,2,3,3,1,2,2,-3,-3,2,2,-3,2,1,1,2,-3,2,-2,-1,-2,-1,1,2,1,-3,-3,2,-2,117,66,7,"A1JDE05XZK1E33",2.7575,1.05,1.5,3.5,4.98,38,11/09/19 03:13 AM,"A3W1M#####KYIZI"
"0.0887:0.1292:0.2036:0.7091","0.0284:0.0586:0.0759:0.7938",4,"25:35:45:50","22:12:3:4",4,50,0.786247200363677,-0.14646590795281,234,0.25,1,336.8,0.833333333333333,5,1.64191131629778,"prop:AeZi8",7.1958,5.361,8.4097,14,4.1583,2.2333,10.22,14.565,3.4167,15,2.565,-9,14.8,98,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",45,"real",25,40,40,12,"A2BBDH8DZD77AU",36,2,2,-3,-3,-2,-3,-1,-3,-3,2,1,-3,-1,2,3,-2,1,-1,-2,-1,1,2,-1,-3,2,-3,2,-3,2,-2,86,67,6,"A3QSJY1FFN0N6V",2.1875,1.04,1.2,2.52,3.99,22,11/10/19 03:53 PM,"A2BBD#####D77AU"
0.7091,0.7938,1,50,28,1,50,0.626283432186312,0.483710783050851,348.5,0.5,2,293,0.166666666666667,1,-0.967421566101701,"prop:bOANJ",8.9341,9.384,5.7012,14,4.1583,13,10.22,11.525,5.16,15,2.565,-1.0875,14.8,34,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",100,"real",50,50,50,9,"A3PIJN4LHKKNPH",37,-3,2,-3,2,-3,-3,2,-2,-3,2,2,-2,2,3,-3,-3,1,-2,-3,2,3,1,-2,-3,1,-2,2,1,1,-3,135,68,7,"A2Z7SWO6HS5OOI",4.645,1.09,1.99,5.5,10,14,11/10/19 04:08 PM,"A3PIJ#####KKNPH"
0.7091,0.7938,1,50,63,1,50,1.93799095924558,0.575174690188004,0,0,0,345,0.5,3,1.15034938037601,"prop:Feeq8",11.4628,15.852,4.001,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,75,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,20,"AOS2PVHT2HYTL",-68,2,-3,1,3,3,2,1,3,2,-3,3,3,-3,-2,-3,2,2,-3,2,-3,-3,-3,-3,2,2,1,-2,-3,-2,-2,134,69,9,"AJ7MWBQFNH3E4",2.875,1,1.5,3,6,30,11/10/19 04:12 PM,"AOS2P#####HYTL"
0.7091,0.7938,1,50,29,1,50,0.384298233612885,-0.691497063550319,362,0.5,2,312.666666666667,1,6,1.38299412710064,"prop:NMogH",11.2161,11.957,7.6922,14,4.1583,13,30,14.565,5.16,15,2.565,-1.0875,14.8,118,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",50,"real",50,50,50,11,"A2G7N0X0PNX0EE",-8,2,1,-1,2,-2,1,-1,1,-2,-2,1,1,-2,-2,-2,-3,-2,1,-2,-2,-1,-2,-2,1,-1,-2,2,-3,1,2,207,70,26,"A5X1KZ9CCHREK",1.295,1,1.2,1,1.98,71,11/10/19 04:34 PM,"A2G7N#####NX0EE"
0.7091,0.7938,1,50,30,1,50,0.786247200363677,-0.14646590795281,327,0.25,1,267,0.833333333333333,5,1.64191131629778,"prop:8iWsG",8.9341,9.384,5.7012,14,4.1583,13,10.22,11.525,5.16,15,2.565,-1.0875,14.8,46,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,14,"AU34T9OMHN4Z4",-12,-2,-2,3,3,3,1,1,1,-2,-1,-1,2,1,-3,-1,-2,3,1,3,-2,-1,1,1,3,-2,-3,2,2,2,1,93,71,11,"A2ZT5S8DHRK8X9",2.3525,1.04,1.38,3,3.99,33,11/10/19 04:49 PM,"AU34T#####N4Z4"
"0.0353:0.2036","0.0028:0.0759",2,08:45:00 PM,10:08:00 PM,2,50,1.14419943422564,0.55260852474577,484,0.25,1,411,0.333333333333333,2,0.243762450900624,"prop:fiw5j",9.9715,14.117,4.001,7,6.5,13,30,14.565,5.16,14.5,2.565,-9,15.425,81,1,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",35,"real",30,30,30,9,"A2SB9HU5RD9QCP",44,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,2,2,2,-2,-2,-2,2,2,2,2,85,72,10,"A2SYTRKH1JWJO5",3.395,1.08,1.5,4,7,111,11/10/19 05:01 PM,"A2SB9#####D9QCP"
0.7091,0.7938,1,50,32,1,50,1.93799095924558,0.575174690188004,0,0,0,455.333333333333,0.5,3,1.15034938037601,"prop:pl7px",9.7248,10.222,7.6922,7,4.1583,13,30,14.565,5.16,15,2.565,-9,14.8,96,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",50,50,50,12,"A2B2HQHFBYLTXU",-14,1,1,-2,1,2,-2,3,3,-2,-2,2,1,1,1,2,2,1,-2,2,-1,-1,-1,-2,2,1,2,1,2,2,-2,117,73,8,"AMX5R6NLYNA2K",3.0125,1.05,1.5,3.5,6,41,11/10/19 06:27 PM,"A2B2H#####YLTXU"
0.1292,0.0586,1,35,239,1,50,0.744766502395818,1.26667175373832,0,0,0,0,0,0,-0.23264474672463,"prop:669c4",7.4614,5.771,6.0223,7,4.1583,2.2333,10.22,14.565,5.16,15,2.565,-1.0875,14.8,87,10,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",40,"real",35,35,35,219,"AURYD2FH3FUOQ",4,-1,-1,2,-3,-3,-3,2,1,-3,-3,3,2,-2,1,-2,-3,2,1,1,1,1,-1,1,-1,2,-3,2,-2,1,-2,171,74,14,"ATBIPUCO3EKS6",4.645,1.09,1.99,5.5,10,97,11/10/19 06:54 PM,"AURYD#####FUOQ"
"0.0213:0.7091:0.2036:0.986:1.0:0.8855","0.0009:0.7938:0.0759:0.0732:0.0208:0.0524",8,"5:50:45:95:100:70","24:32:8:7:6:4",6,50,1.14419943422564,0.121881225450312,386,0.25,1,354.5,0.666666666666667,4,1.10521704949154,"prop:Jo3zL",11.2236,14.477,4.9948,14,4.1583,13,30,14.565,5.16,15,2.015,-1.0875,15.425,78,0,"3NBFJK3IPKO682PN9TMBMQFXPULGO5",25,"real",5,50,50,11,"A88DXNDGDUWEN",46,-2,2,-3,-3,-2,1,-1,2,-2,2,-2,-2,3,3,2,-2,-1,2,-2,2,-1,3,3,-3,3,-2,2,-3,2,-3,387,75,18,"A1PHDT66U6IK4Q",1.2675,0.99,1.08,2,1,32,11/10/19 07:35 PM,"A88DX#####UWEN"
"0.7091:0.0213:0.0353:0.2036:0.7187:0.8855:1.0","0.7938:0.0009:0.0028:0.0759:0.182:0.0524:0.0208",11,"50:5:20:45:55:70:100","35:3:2:7:6:10:3",7,50,0.744766502395818,-0.116322373362315,0,0,0,351.5,1,6,2.53334350747665,"prop:2d7u9",11.4628,15.852,4.001,14,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,119,0,"3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ",50,"real",50,50,50,9,"A49MD40UT6ABO",-4,2,-2,1,-1,-1,-1,-1,-1,-2,1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,2,-2,1,-2,-1,-1,201,76,30,"A1SISJL5ST2PWH",4.645,1.09,1.99,5.5,10,157,11/10/19 11:48 PM,"A49MD#####6ABO"
0.7187,0.182,1,55,52,1,50,1.21373162950237,-1.05888547323885,322.75,1,4,316,0.833333333333333,5,-0.182927814274307,"prop:IkXqf",10.7628,15.202,3.251,7,6.5,13,30,14.565,5.16,14.5,2.565,-1.0875,15.425,41,10,"3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ",40,"real",55,55,55,20,"A3SZF91DCOQPW3",-7,1,1,1,2,1,2,-1,1,1,1,-1,2,1,1,-1,1,1,1,1,1,-1,1,1,1,1,2,1,2,1,1,80,77,10,"A3AOVJ7F9LXQ51",3.3525,1.08,1.33,4,7,15,11/11/19 12:07 AM,"A3SZF#####OQPW3"
"0.1805:0.8855","0.0508:0.0524",2,41:10:00,61:17:00,2,50,0.744766502395818,-0.116322373362315,0,0,0,318.166666666667,1,6,2.53334350747665,"prop:PiNVz",8.4262,10.906,4.4248,7,4.1583,13,10.22,14.565,3.4167,15,2.565,-1.0875,15.425,106,2,"3Z33IC0JD3UESCLAZWSJ6J0XASK9VJ",40,"real",50,70,70,18,"AEM718JL7V8J1",-24,2,-2,3,3,3,3,3,3,-2,1,3,3,1,-3,-1,-1,-1,-3,3,-2,1,3,-2,1,1,1,3,3,2,-3,189,78,8,"A24LB89P1BPKKF",1.5575,1.05,1.2,2,1.98,57,11/11/19 01:21 AM,"AEM71#####V8J1"
